[18:09:06](info)+ |=user> (null) |=info> db connection
[18:09:06](info)+ |=user> (null) |=info> db connection
[18:09:24](info)+ |=user> (null) |=get> /login |=info> sent
[18:09:32](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:1
[18:09:32](info)+ |=user> 1(admin) |=get> / |=info> sent
[18:10:00](info)+ |=user> 1(admin) |=get> /users |=info> sent
[18:10:14](info)+ |=user> 1(admin) |=get> / |=info> sent
[18:10:15](info)+ |=user> 1(admin) |=get> /add-user |=info> sent
[18:12:35](info)+ |=user> 1(admin) |=post> /add-user |=info> submitted successfully
[18:12:35](info)+ |=user> 1(admin) |=get> /user/II10000014 |=info> sent
[18:12:42](info)+ |=user> 1(admin) |=get> / |=info> sent
[18:12:43](info)+ |=user> 1(admin) |=get> /users |=info> sent
[18:12:50](info)+ |=user> 1(admin) |=get> /user/II10000014 |=info> sent
[18:12:57](info)+ |=user> 1(admin) |=get> /user/II10000014 |=info> sent
[18:13:12](info)+ |=user> 1(admin) |=post> /edit-user |=info> updated
[18:13:13](info)+ |=user> 1(admin) |=get> /user/II10000014 |=info> sent
[18:13:18](info)+ |=user> 1(admin) |=get> /user/II10000014 |=info> sent
[18:13:34](info)+ |=user> 1(admin) |=get> /users |=info> sent
[18:13:36](info)+ |=user> 1(admin) |=get> / |=info> sent
[18:13:43](info)+ |=user> (null) |=get> /logout |=info> sent
[18:13:43](info)+ |=user> (null) |=get> /login |=info> sent
[18:13:54](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:1
[18:13:54](info)+ |=user> 1(admin) |=get> / |=info> sent
[18:13:56](info)+ |=user> 1(admin) |=get> /add-user |=info> sent
[18:14:34](info)+ |=user> 1(admin) |=post> /add-user |=info> submitted successfully
[18:14:34](info)+ |=user> 1(admin) |=get> /user/II10000015 |=info> sent
[18:14:43](info)+ |=user> 1(admin) |=get> / |=info> sent
[18:14:46](info)+ |=user> 1(admin) |=get> /users |=info> sent
[18:14:54](info)+ |=user> 1(admin) |=get> /user/II10000015 |=info> sent
[18:14:58](info)+ |=user> 1(admin) |=post> /edit-user |=info> updated
[18:14:58](info)+ |=user> 1(admin) |=get> /user/II10000015 |=info> sent
[18:15:19](info)+ |=user> 1(admin) |=get> /user/II10000015 |=info> sent
[18:15:24](info)+ |=user> 1(admin) |=get> /user/II10000015 |=info> sent
[18:15:26](info)+ |=user> 1(admin) |=get> /user/II10000015 |=info> sent
[18:15:28](info)+ |=user> 1(admin) |=get> /users |=info> sent
[18:15:34](info)+ |=user> (null) |=get> /logout |=info> sent
[18:15:34](info)+ |=user> (null) |=get> /login |=info> sent
[18:15:47](info)+ |=user> (null) |=post> /login |=info> login failed, userid:13
[18:15:47](info)+ |=user> (null) |=get> /login |=info> sent
[18:15:52](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:1
[18:15:52](info)+ |=user> 1(admin) |=get> / |=info> sent
[18:15:53](info)+ |=user> 1(admin) |=get> /users |=info> sent
[18:15:58](info)+ |=user> (null) |=get> /logout |=info> sent
[18:15:58](info)+ |=user> (null) |=get> /login |=info> sent
[18:16:09](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:14
[18:16:09](info)+ |=user> 14(student) |=get> / |=info> sent
[18:16:12](info)+ |=user> 14(student) |=get> /profile |=info> sent
[18:16:20](info)+ |=user> 14(student) |=get> / |=info> sent
[18:16:23](info)+ |=user> 14(student) |=get> /results |=info> sent
[18:16:27](info)+ |=user> 14(student) |=get> / |=info> sent
[18:16:28](info)+ |=user> 14(student) |=get> /exams |=info> sent
[18:16:33](info)+ |=user> 14(student) |=get> / |=info> sent
[18:16:35](info)+ |=user> 14(student) |=get> /exams |=info> sent
[18:16:38](info)+ |=user> 14(student) |=get> / |=info> sent
[18:16:39](info)+ |=user> (null) |=get> /logout |=info> sent
[18:16:39](info)+ |=user> (null) |=get> /login |=info> sent
[18:16:47](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:14
[18:16:47](info)+ |=user> 14(student) |=get> / |=info> sent
[18:16:49](info)+ |=user> (null) |=get> /logout |=info> sent
[18:16:49](info)+ |=user> (null) |=get> /login |=info> sent
[18:16:56](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:15
[18:16:56](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:16:58](info)+ |=user> 15(teacher) |=get> /profile |=info> sent
[18:17:02](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:17:04](info)+ |=user> 15(teacher) |=get> /students |=info> sent
[18:17:11](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:17:12](info)+ |=user> 15(teacher) |=get> /question-papers |=info> sent
[18:17:33](info)+ |=user> 15(teacher) |=get> /add-question-paper |=info> sent
[18:18:57](info)+ |=user> 15(teacher) |=post> /add-question-paper |=info> submitted successfully
[18:18:57](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc9-2022 |=info> sent
[18:19:07](info)+ |=user> 15(teacher) |=get> /download/question-paper/cmsa-cc9-2022 |=info> sent
[18:19:10](info)+ |=user> 15(teacher) |=get> /question-papers |=info> sent
[18:19:13](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:19:20](info)+ |=user> 15(teacher) |=get> /question-papers |=info> sent
[18:19:39](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc9-2022 |=info> sent
[18:19:45](info)+ |=user> 15(teacher) |=get> /download/question-paper/cmsa-cc9-2022 |=info> sent
[18:19:51](info)+ |=user> 15(teacher) |=post> /edit-question-paper |=info> updated
[18:19:51](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc9-2022 |=info> sent
[18:20:19](info)+ |=user> 15(teacher) |=get> /question-papers |=info> sent
[18:20:27](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:20:28](info)+ |=user> (null) |=get> /logout |=info> sent
[18:20:28](info)+ |=user> (null) |=get> /login |=info> sent
[18:20:35](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:14
[18:20:35](info)+ |=user> 14(student) |=get> / |=info> sent
[18:20:37](info)+ |=user> 14(student) |=get> /results |=info> sent
[18:20:39](info)+ |=user> 14(student) |=get> / |=info> sent
[18:20:40](info)+ |=user> 14(student) |=get> /exams |=info> sent
[18:20:47](info)+ |=user> 14(student) |=get> /download/question-paper/cmsa-cc9-2022 |=info> sent
[18:21:23](info)+ |=user> 14(student) |=post> /submit-exam |=info> submitted successfully
[18:21:23](info)+ |=user> 14(student) |=get> /exams |=info> sent
[18:21:26](info)+ |=user> 14(student) |=get> /exams |=info> sent
[18:21:28](info)+ |=user> 14(student) |=get> /exams |=info> sent
[18:21:35](info)+ |=user> 14(student) |=get> /download/answer-paper/cmsa-cc9-2022-ANS-II10000014 |=info> downloaded
[18:21:48](info)+ |=user> 14(student) |=get> / |=info> sent
[18:21:50](info)+ |=user> (null) |=get> /logout |=info> sent
[18:21:50](info)+ |=user> (null) |=get> /login |=info> sent
[18:22:06](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:15
[18:22:06](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:22:09](info)+ |=user> 15(teacher) |=get> /question-papers |=info> sent
[18:22:12](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc9-2022 |=info> sent
[18:22:27](info)+ |=user> 15(teacher) |=post> /edit-question-paper |=info> updated
[18:22:27](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc9-2022 |=info> sent
[18:22:51](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:22:52](info)+ |=user> 15(teacher) |=get> /students |=info> sent
[18:22:55](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:22:56](info)+ |=user> 15(teacher) |=get> /question-papers |=info> sent
[18:22:57](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc9-2022 |=info> sent
[18:23:00](info)+ |=user> 15(teacher) |=get> /question-papers |=info> sent
[18:23:07](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc9-2022 |=info> sent
[18:23:13](info)+ |=user> 15(teacher) |=get> /answer-paper/cmsa-cc9-2022-ANS-II10000014 |=info> sent
[18:23:19](info)+ |=user> 15(teacher) |=get> /download/answer-paper/cmsa-cc9-2022-ANS-II10000014 |=info> downloaded
[18:23:47](info)+ |=user> 15(teacher) |=post> /edit-answer-paper |=info> updated
[18:23:47](info)+ |=user> 15(teacher) |=get> /answer-paper/cmsa-cc9-2022-ANS-II10000014 |=info> sent
[18:23:52](info)+ |=user> 15(teacher) |=get> /download/answer-paper/cmsa-cc9-2022-ANS-II10000014 |=info> downloaded
